id,name,service_name_vi,category,category_vi,finish_type,extension_type,nail_length,nail_shape,art_level,description,add_ons,duration_min,price,price_tier,maintenance_weeks,refill_eligible,removal_needed,soak_off_time_min,notes_en,notes_vi,seasonality_tags,trend_tags,inventory_items_used,selected
038.jpg,Almond Gel Polish with Red Flowers,Sơn Gel Dáng Hạnh Nhân (Hoa Đỏ),Manicure / Gel-X,Làm móng tay / Móng Gel-X,Glossy,None / Builder Gel,Medium,Almond,Complex,Deep burgundy/red base with hand-painted white and red hibiscus-style flowers on accent nails.,Hand-painted Floral Art,105,90,Mid-High,2-3,No,Yes,20,"Elegant floral design, requires detailed hand-painting skill. Good for natural nails or short extensions.","Thiết kế hoa thanh lịch, yêu cầu kỹ năng vẽ tay chi tiết. Tốt cho móng tự nhiên hoặc móng đắp ngắn.","Summer, Fall, Holiday","Floral Nails, Hand-painted Art, Dark Red Nails","Burgundy Gel Polish, White Art Gel, Red Art Gel, Fine Detail Brush, Base Coat, Top Coat",1
039.jpg,Long Square Pink Ombré with 3D Charms,Làm Móng Ombré Hồng Dài Dáng Vuông (Đính Charm 3D),Full Set,Làm bộ móng mới,Glossy,Acrylic,Long,Square,Complex,"Pink and white ombré base with various 3D white flowers, gold butterfly charms, and rhinestones. Some nails have pink V-French tips.","Pink & White Ombré, 3D Flowers, Butterfly Charms, Rhinestones, V-French Tip",195,160,Premium,2-3,Yes (complex),Yes,30,"Richly decorated set, combines multiple popular art elements. Very Instagrammable.","Bộ móng được trang trí phong phú, kết hợp nhiều yếu tố nghệ thuật phổ biến. Rất thích hợp để đăng Instagram.","Spring, Summer, Bridal, Prom","Pink Ombré, 3D Art, Butterfly Nails, Bling Nails, Square Nails","Pink Acrylic Powder, White Acrylic Powder, Clear Acrylic, Monomer, Nail Forms, 3D White Flowers, Gold Butterfly Charms, Various Rhinestones, Nail Glue, Glossy Top Coat",0
040.jpg,Medium Square French Manicure,Làm Móng Tay Kiểu Pháp Dáng Vuông Trung Bình,Manicure / Full Set,Làm móng tay / Làm bộ móng mới,Glossy,None / Gel-X,Medium,Square,None,Classic pink and white French tips.,French Tip Art,90,70,Mid-High,2-3,Yes (with rebalance),Yes,20,"Timeless and always in demand. Can be done on natural nails, builder gel, or Gel-X.","Vượt thời gian và luôn được yêu cầu. Có thể làm trên móng tự nhiên, builder gel, hoặc Gel-X.","All-Season, Bridal, Classic","French Manicure, Classic Nails, Square Nails","Nude Pink Gel Polish, White Art Gel, Fine Liner Brush, Base Coat, Top Coat",0
041.jpg,Kawaii Character Full Set,Làm Móng Bột Dáng Vuông Dài (Nhân Vật Kawaii),Full Set,Làm bộ móng mới,Glossy / Glitter,Acrylic,Long,Square,Extreme,"Nude pink base with white French tips. Features various cute 3D charms (Hello Kitty, strawberry, butterfly), encapsulated glitter, and small rhinestones.","3D Charms (Kawaii), Encapsulated Glitter, Rhinestones, French Tip Art",210,180,Premium,2-3,Yes (complex),Yes,30,"Highly detailed and cute set, popular with younger clientele or those who love elaborate art. Very time consuming.","Bộ móng rất chi tiết và dễ thương, phổ biến với khách hàng trẻ tuổi hoặc những người yêu thích nghệ thuật cầu kỳ. Rất tốn thời gian.","All-Season, Trendy, Youth","Kawaii Nails, 3D Charms, Hello Kitty Nails, Glitter Nails","Nude Pink Acrylic, White Acrylic, Clear Acrylic, Monomer, Nail Forms, Hello Kitty Charm, Strawberry Charm, Butterfly Charms, Small Rhinestones, Pink Glitter, Nail Glue, Glossy Top Coat",0
042.jpg,Halloween Pink Stiletto Set,Làm Móng Nhọn Dáng Halloween Hồng,Full Set / Manicure,Làm bộ móng mới / Làm móng tay,Glossy,Acrylic / Gel-X,Long,Stiletto,Complex,"Pink and black Halloween-themed art including spiderwebs, ghosts, hearts, and abstract patterns. Stiletto shape.","Hand-painted Halloween Art, Multi-Color",150,120,High,2-3,No,Yes,25,"Fun, festive Halloween set. Requires detailed line work for spiderwebs and character drawing.","Bộ móng Halloween vui nhộn, lễ hội. Yêu cầu vẽ đường nét chi tiết cho mạng nhện và nhân vật.","Halloween, Fall, Spooky","Halloween Nails, Pink Halloween, Stiletto Nails, Spooky Cute","Pink Gel Polish, Black Art Gel, White Art Gel, Fine Liner Brush, Dotting Tool, Base Coat, Top Coat",0
043.jpg,Blue Abstract Full Set (Ad Image),Làm Móng Bột Xanh Trừu Tượng (Ảnh Quảng Cáo),Full Set,Làm bộ móng mới,Glossy / Glitter,Acrylic,XL,Coffin / Stiletto,Extreme,"Complex blue-themed set featuring abstract swirls, encapsulated glitter, rhinestones, and French tips. Ad image with business info.","Abstract Swirls, Encapsulated Glitter, Rhinestones, French Tips, Extra Length",240,200,Premium,2-3,Yes (complex),Yes,30,Showcases multiple advanced techniques. The image is an advertisement; pricing should reflect the high skill and time involved.,Trưng bày nhiều kỹ thuật nâng cao. Hình ảnh là quảng cáo; giá nên phản ánh kỹ năng cao và thời gian thực hiện.,"Summer, Trendy, Glamorous","Abstract Nails, Blue Nails, Glitter Nails, Bling Nails, XL Nails","Various Blue Acrylic Powders, Clear Acrylic, Monomer, Nail Forms, Blue Glitter, Rhinestones, White Art Gel, Liner Brush, Nail Glue, Glossy Top Coat",0
044.jpg,Yellow V-French with 3D Flowers,Làm Móng Bột Dáng Chữ V Vàng (Hoa 3D),Full Set,Làm bộ móng mới,Glossy,Acrylic,Long,Square,Complex,Nude pink base with bold yellow V-French tips. Adorned with small 3D yellow flowers along the V-line.,"V-French Art, 3D Flowers",150,120,High,2-3,Yes,Yes,30,Vibrant spring/summer design. 3D flowers add texture and intricacy.,Thiết kế rực rỡ cho mùa xuân/hè. Hoa 3D thêm kết cấu và độ phức tạp.,"Spring, Summer, Easter","V-French, Yellow Nails, 3D Flowers, Square Nails","Nude Pink Acrylic, Yellow Acrylic, Clear Acrylic, Monomer, Nail Forms, Yellow 3D Flowers, Nail Glue, Glossy Top Coat",0
045.jpg,Pink & White Glitter Ombré with 3D Charms,Làm Móng Ombré Hồng Trắng Kim Tuyến (Đính Charm 3D),Full Set,Làm bộ móng mới,Glossy / Glitter,Acrylic,Medium,Square,Complex,"Pink and white ombré with a subtle pink glitter fade. Features 3D gold butterfly charms, small hearts, and rhinestones.","Pink & White Ombré, Glitter Fade, 3D Charms, Rhinestones",165,130,High,2-3,Yes (complex),Yes,30,Elegant and playful design. Charms and glitter require secure application.,Thiết kế thanh lịch và vui tươi. Charm và kim tuyến yêu cầu gắn chắc chắn.,"Spring, Summer, Valentine's Day","Pink Ombré, Glitter Nails, Butterfly Nails, 3D Charms, Square Nails","Pink Acrylic Powder, White Acrylic Powder, Clear Acrylic, Monomer, Nail Forms, Pink Fine Glitter, Gold Butterfly Charms, Small Heart Decals, Rhinestones, Nail Glue, Glossy Top Coat",0
046.jpg,Strawberry & Heart Valentine's Set (Ad Image),Làm Móng Valentine Dâu Tây & Tim (Ảnh Quảng Cáo),Full Set / Manicure,Làm bộ móng mới / Làm móng tay,Glossy / 3D,Acrylic / Gel-X,Long,Coffin / Square,Extreme,"Mixed art design with pink and red colors. Features hand-painted strawberries, hearts, 3D bows, pearls, and polka dots. Ad image with business info.","Hand-painted Art, 3D Bows, Pearls, Extra Length",210,180,Premium,2-3,No,Yes,30,"Very intricate holiday/themed set, requiring high artistic skill. Pricing should be premium due to complexity and time.","Bộ móng lễ hội/chủ đề rất phức tạp, yêu cầu kỹ năng nghệ thuật cao. Giá nên ở mức cao cấp do độ phức tạp và thời gian.","Valentine's Day, Summer (Strawberries), Romantic","Strawberry Nails, Heart Nails, 3D Bows, Kawaii Nails, Valentine's Nails","Pink Gel Polish, Red Gel Polish, White Art Gel, Green Art Gel, Fine Liner Brush, Dotting Tool, 3D Bows, Pearls, Base Coat, Top Coat",0
047.jpg,Deep Red & White French with 3D Bows,Làm Móng Tay Kiểu Pháp Đỏ Đậm & Trắng (Nơ 3D),Manicure / Full Set,Làm móng tay / Làm bộ móng mới,Glossy,None / Gel-X,Medium,Almond / Oval,Complex,Deep red V-French tips and white tips on a nude base. Features white 3D bows and small rhinestones on accent nails.,"V-French Art, 3D Bows, Rhinestones",135,110,High,2-3,Yes (with rebalance),Yes,20,Elegant and playful design. Good for holiday or special occasions.,Thiết kế thanh lịch và vui tươi. Thích hợp cho dịp lễ hoặc sự kiện đặc biệt.,"Christmas, Valentine's Day, Formal","French Tip, V-French, 3D Bows, Red Nails, Rhinestone Nails","Nude Pink Gel Polish, Deep Red Gel Polish, White Gel Polish, White 3D Bows, Small Rhinestones, Nail Glue, Fine Liner Brush, Base Coat, Top Coat",0
048.jpg,Black French Pedicure & Manicure Set,Làm Bộ Móng Chân & Móng Tay Pháp Đen,Pedicure & Full Set,Làm móng chân & Làm bộ móng mới,Glossy,Acrylic (hands) / None (feet),Long (hands) / Short (feet),Coffin (hands) / Square (feet),Moderate,"Matching black French tips on both hands and feet. The hand nails are long and coffin-shaped, while toenails are short and square.","French Tip Art, Pedicure",165,130,High,"2-3 (hands), 4-6 (feet)","Yes (hands), No (feet)",Yes,30,A sophisticated matching set. The hand nails have a unique 'half-moon' cuticle line on the black tip.,Một bộ móng đôi tinh tế. Móng tay có đường viền đen 'hình bán nguyệt' độc đáo ở gần biểu bì.,"All-Season, Evening, Edgy","Black French, Matching Mani Pedi, Coffin Nails, Minimalist","Nude Pink Acrylic/Gel Polish, Black Acrylic/Gel Polish, Clear Acrylic, Monomer, Nail Forms (hands), Pedicure Base Coat, Pedicure Top Coat, Glossy Top Coat",0
049.jpg,Holiday Gel Manicure Set (4 Hands),Làm Móng Gel Lễ Hội (4 Tay),Manicure,Làm móng tay,Glossy / Glitter,None,Short / Medium,Oval / Square,Simple,"Four hands with various holiday-themed gel polish applications: solid red, light green glitter, solid white, and white glitter.","Glitter Gel, Multi-Color (4 colors)",75,65,Mid,2-3,No,Yes,15,Example of simple gel polish options for holidays. Can be marketed as 'friends' manicure' package.,Ví dụ về các lựa chọn sơn gel đơn giản cho dịp lễ. Có thể được tiếp thị như gói 'làm móng cho bạn bè'.,"Christmas, Holiday, Winter","Holiday Nails, Red Nails, Green Glitter, White Nails","Red Gel Polish, Green Glitter Gel Polish, White Gel Polish, Silver Glitter Gel Polish, Base Coat, Top Coat",0
050.jpg,Blue Cat Eye Stiletto Full Set,Làm Móng Bột Dáng Nhọn Mắt Mèo Xanh,Full Set,Làm bộ móng mới,Cat Eye / Glossy,Acrylic,Long,Stiletto,Moderate,Dark blue cat eye effect with subtle black marbling on long stiletto nails.,"Cat Eye Gel, Marbling Art",150,120,High,2-3,Yes,Yes,30,Dramatic and mystical look. Cat eye effect requires magnetic tool. Marbling adds depth.,Vẻ ngoài ấn tượng và huyền bí. Hiệu ứng mắt mèo yêu cầu công cụ nam châm. Kỹ thuật vân đá thêm chiều sâu.,"Fall, Winter, Evening, Edgy","Cat Eye Nails, Blue Nails, Stiletto Nails, Dark Nails","Clear Acrylic, Monomer, Nail Forms, Dark Blue Cat Eye Gel Polish, Black Gel Polish (for marbling), Magnet Tool, Glossy Top Coat",0
051.jpg,Neon French Pedicure with V-Tips,Làm Móng Chân Kiểu Pháp Neon (Đầu Móng Chữ V),Pedicure,Làm móng chân,Glossy,None,Short,Square,Moderate,Natural nude base with neon green and yellow V-shaped French tips on toenails. Features a toe ring.,"V-French Art, Neon Colors",60,60,Mid-High,4-6,No,Yes,15,"Trendy and vibrant pedicure, perfect for summer. Requires steady hand for V-tips.","Làm móng chân thời thượng và rực rỡ, hoàn hảo cho mùa hè. Yêu cầu tay nghề vững để vẽ đầu móng chữ V.","Summer, Spring, Festival","Neon Nails, V-French, Pedicure, Trendy","Nude Pink Gel Polish, Neon Green Gel Polish, Neon Yellow Gel Polish, Fine Liner Brush, Pedicure Base Coat, Pedicure Top Coat",0
052.jpg,Valentine's Heart Bling Full Set (Ad Image),Làm Móng Bột Đính Đá Trái Tim Valentine (Ảnh Quảng Cáo),Full Set,Làm bộ móng mới,Glossy / Bling,Acrylic,XL,Coffin / Square,Extreme,Long white nails with extensive red rhinestone hearts and full red glitter nails. Ad image with business info.,"Full Bling Art, Rhinestone Hearts, Red Glitter, Extra Length",240,220,Premium,2-3,Yes (complex),Yes,30,"High-impact, luxurious Valentine's Day design. Very time and material intensive. Pricing should be premium.","Thiết kế Ngày Valentine sang trọng, tạo ấn tượng mạnh. Rất tốn thời gian và vật liệu. Giá nên ở mức cao cấp.","Valentine's Day, Holiday, Romantic","Bling Nails, Heart Nails, Red Glitter, XL Nails, Coffin Nails","White Acrylic Powder, Clear Acrylic, Monomer, Nail Forms, Red Rhinestones, Red Glitter, Nail Glue, Glossy Top Coat",0
053.jpg,Blue Evil Eye French Full Set,Làm Móng Bột Pháp Mắt Ác Xanh,Full Set,Làm bộ móng mới,Glossy,Acrylic,Medium / Long,Coffin,Complex,Nude base with blue V-French tips. Features hand-painted evil eye designs and small heart accents.,"V-French Art, Hand-painted Evil Eye, Heart Decals/Art",150,120,High,2-3,Yes,Yes,30,Trendy and spiritual design. Evil eye art requires precision with fine brushes.,Thiết kế thời thượng và mang tính tâm linh. Vẽ mắt ác yêu cầu độ chính xác cao với cọ mảnh.,"All-Season, Trendy, Boho","Evil Eye Nails, Blue Nails, V-French, Coffin Nails","Nude Pink Acrylic, Blue Acrylic, White Art Gel, Black Art Gel, Fine Liner Brush, Heart Decals, Clear Acrylic, Monomer, Nail Forms, Glossy Top Coat",0
054.jpg,Pink French with 3D Flowers & Rhinestones,Làm Móng Bột Pháp Hồng (Hoa 3D & Đá),Full Set,Làm bộ móng mới,Glossy,Acrylic,Long,Square,Complex,Nude pink base with classic white French tips. Accent nails feature delicate 3D white flowers and small iridescent rhinestones.,"French Tip Art, 3D Flowers, Rhinestones",165,130,High,2-3,Yes,Yes,30,Elegant and popular choice for bridal or formal events. 3D elements require careful application.,Lựa chọn thanh lịch và phổ biến cho cô dâu hoặc sự kiện trang trọng. Các yếu tố 3D yêu cầu gắn tỉ mỉ.,"Bridal, Wedding, Spring, Formal","French Tip, 3D Flowers, Rhinestone Nails, Square Nails","Nude Pink Acrylic Powder, White Acrylic Powder, Clear Acrylic, Monomer, Nail Forms, Small White 3D Flowers, Iridescent Rhinestones, Nail Glue, Glossy Top Coat",0
055.jpg,Strawberry & Heart Valentine's Full Set,Làm Móng Bột Valentine Dâu Tây & Tim,Full Set,Làm bộ móng mới,Glossy / 3D,Acrylic,XL,Coffin / Square,Extreme,"Mixed art design with pink and red colors on clear/nude base. Features hand-painted strawberries, red hearts, and pink 3D bows.","Hand-painted Art, 3D Bows, Multi-color, Extra Length",225,190,Premium,2-3,No,Yes,30,Highly intricate and cute Valentine's themed set. Requires significant artistic skill and time. Customer wearing a Tom and Jerry shirt.,Bộ móng chủ đề Valentine rất phức tạp và dễ thương. Yêu cầu kỹ năng nghệ thuật và thời gian đáng kể. Khách hàng mặc áo Tom và Jerry.,"Valentine's Day, Summer (Strawberries), Romantic","Strawberry Nails, Heart Nails, 3D Bows, Kawaii Nails, Valentine's Nails","Clear Acrylic, Nude Pink Acrylic, Monomer, Nail Forms, Red Art Gel, Pink Art Gel, Green Art Gel, White Art Gel, Fine Liner Brush, Pink 3D Bows, Nail Glue, Glossy Top Coat",0
056.jpg,Pastel Blue Heart Tip Full Set,Làm Móng Bột Đầu Móng Trái Tim Xanh Pastel,Full Set,Làm bộ móng mới,Glossy,Acrylic,Medium,Coffin / Square,Moderate,Nude pink base with pastel blue heart-shaped French tips and delicate purple swirls. Features a silver business card.,"Heart French Tip, Hand-painted Swirls",135,100,High,2-3,Yes,Yes,30,Sweet and trendy design. Heart tips and swirls require precise application. The image context is clear with the business card.,Thiết kế ngọt ngào và thời thượng. Đầu móng hình trái tim và vân xoáy yêu cầu độ chính xác cao. Bối cảnh hình ảnh rõ ràng với danh thiếp.,"Spring, Valentine's Day, Summer","Heart Nails, Pastel Nails, Swirl Nails, French Tip Variation","Nude Pink Acrylic, Pastel Blue Acrylic, Clear Acrylic, Monomer, Nail Forms, Purple Art Gel, Fine Liner Brush, Glossy Top Coat",0
057.jpg,Animal Print & Red French Full Set,Làm Móng Bột Pháp Đỏ & Họa Tiết Da Báo,Full Set,Làm bộ móng mới,Glossy / Metallic,Acrylic,Long,Stiletto / Almond,Complex,"Mixed design: classic white French tips, solid red nails, gold chrome nails, and hand-painted leopard print nails. Gold stud accents.","French Tip, Animal Print Art, Gold Chrome, Gold Studs",180,150,Premium,2-3,Yes (complex),Yes,30,Bold and fashionable mixed media set. Leopard print and chrome are popular trends.,Bộ móng đa phương tiện táo bạo và thời trang. Họa tiết da báo và chrome là những xu hướng phổ biến.,"Fall, Winter, Edgy, Fashion","Animal Print Nails, Leopard Print, Red Nails, Gold Chrome, French Tip","Nude Pink Acrylic, White Acrylic, Red Acrylic, Black Art Gel, Brown Gel Polish, Gold Chrome Powder, Gold Studs, Clear Acrylic, Monomer, Nail Forms, Fine Liner Brush, Glossy Top Coat",0
058.jpg,Marble & Gold Accent Stiletto Full Set,Làm Móng Bột Dáng Nhọn Vân Đá Cẩm Thạch & Vàng,Full Set,Làm bộ móng mới,Glossy,Acrylic,Medium / Long,Stiletto / Almond,Complex,White base with subtle pastel blue/purple marbling and gold foil/lines. One ring on the client's hand.,"Marble Art, Gold Foil/Lines",150,120,High,2-3,Yes,Yes,30,Elegant and sophisticated design. Marbling technique requires skill and artistic eye.,Thiết kế thanh lịch và tinh tế. Kỹ thuật vân đá cẩm thạch yêu cầu kỹ năng và con mắt nghệ thuật.,"All-Season, Elegant, Formal","Marble Nails, Gold Accents, Stiletto Nails, Classy","White Acrylic Powder, Clear Acrylic, Monomer, Nail Forms, Pastel Blue/Purple Gel Polish (for marbling), Gold Foil/Gel, Fine Liner Brush, Glossy Top Coat",0
059.jpg,Hot Pink Outline French Full Set,Làm Móng Bột Pháp Viền Hồng,Full Set,Làm bộ móng mới,Glossy,Acrylic,Long,Stiletto / Almond,Moderate,Nude pink base with hot pink outline French tips and hot pink half-moon designs at the cuticle.,"Outline French, Half-Moon Art, Multi-color",135,100,High,2-3,Yes,Yes,30,Modern and stylish take on French manicure. Requires fine line work.,Phiên bản hiện đại và thời trang của kiểu móng Pháp. Yêu cầu kỹ năng vẽ đường nét mảnh.,"Summer, Spring, Trendy","Outline French, Pink Nails, Stiletto Nails, Modern French","Nude Pink Acrylic, Hot Pink Acrylic/Gel Polish, Clear Acrylic, Monomer, Nail Forms, Fine Liner Brush, Glossy Top Coat",0
060.jpg,White French with Pink 3D Bows,Làm Móng Bột Pháp Trắng (Nơ 3D Hồng),Full Set,Làm bộ móng mới,Glossy / 3D,Acrylic,Long,Square,Complex,Classic white French tips on a nude pink base. Features adorable pink 3D bows on accent nails.,"French Tip Art, 3D Bows",150,120,High,2-3,Yes,Yes,30,"Cute and classic combination, popular for a feminine look. 3D bows need secure attachment.","Sự kết hợp dễ thương và cổ điển, phổ biến cho vẻ ngoài nữ tính. Nơ 3D cần được gắn chắc chắn.","Spring, Valentine's Day, Bridal","French Tip, 3D Bows, Pink Nails, Classic Nails","Nude Pink Acrylic Powder, White Acrylic Powder, Clear Acrylic, Monomer, Nail Forms, Pink 3D Bows, Nail Glue, Glossy Top Coat",0
061.jpg,Pink & White Snake Print French Full Set (Ad Image),Làm Móng Bột Pháp Hồng Trắng Họa Tiết Da Rắn (Ảnh Quảng Cáo),Full Set,Làm bộ móng mới,Glossy,Acrylic,Long,Almond / Stiletto,Complex,Nude pink base with white French tips and accent nails featuring pink snake print. Ad image with business info.,"French Tip Art, Snake Print Art, Multi-color",150,120,High,2-3,Yes,Yes,30,"Trendy animal print design, popular for clients seeking an edgy yet feminine look.","Thiết kế họa tiết động vật thời thượng, phổ biến cho khách hàng tìm kiếm vẻ ngoài cá tính nhưng nữ tính.","All-Season, Trendy, Edgy","Snake Print Nails, Pink Nails, French Tip, Almond Nails","Nude Pink Acrylic, White Acrylic, Pink Gel Polish, Fine Liner Brush, Clear Acrylic, Monomer, Nail Forms, Glossy Top Coat",0
062.jpg,Red & Gold Bling French Full Set,Làm Móng Bột Pháp Đỏ & Vàng Đính Đá,Full Set,Làm bộ móng mới,Glossy / Bling,Acrylic,Medium,Square,Extreme,Nude pink base with red and white French tips. Accent nails feature elaborate gold rhinestone crosses and mixed gold/red gems.,"French Tip Art, Gold Rhinestone Crosses, Mixed Gems, Bling Art",195,160,Premium,2-3,Yes (complex),Yes,30,"High-glamour design, ideal for special occasions or clients who love bold bling. Requires precision for gem placement.","Thiết kế lộng lẫy, lý tưởng cho các dịp đặc biệt hoặc khách hàng yêu thích sự lấp lánh nổi bật. Yêu cầu độ chính xác cao khi đính đá.","Holiday, Party, Glamorous","Bling Nails, Red Nails, Gold Nails, French Tip, Rhinestone Cross","Nude Pink Acrylic, White Acrylic, Red Acrylic, Clear Acrylic, Monomer, Nail Forms, Gold Rhinestone Cross Charms, Various Red/Gold Rhinestones, Nail Glue, Glossy Top Coat",0
063.jpg,Pink Ombré with 3D Flowers & Bling (Ad Image),Làm Móng Ombré Hồng (Hoa 3D & Đính Đá - Ảnh Quảng Cáo),Full Set,Làm bộ móng mới,Glossy / Bling,Acrylic,Long,Coffin / Square,Extreme,"Pink ombré nails with white 3D flowers, silver rhinestones, and delicate white swirls. Ad image with business info.","Pink Ombré, 3D Flowers, Rhinestones, Swirl Art",210,180,Premium,2-3,Yes (complex),Yes,30,"Very popular, feminine, and glamorous design combining multiple techniques.","Thiết kế rất phổ biến, nữ tính và quyến rũ kết hợp nhiều kỹ thuật.","Spring, Bridal, Prom, Valentine's Day","Pink Ombré, 3D Flowers, Bling Nails, Swirl Nails, Coffin Nails","Pink Acrylic Powder, White Acrylic Powder, Clear Acrylic, Monomer, Nail Forms, White 3D Flowers, Silver Rhinestones, White Art Gel, Fine Liner Brush, Nail Glue, Glossy Top Coat",0
064.jpg,Light Pink Gel Manicure with Mandala Art (Ad Image),Sơn Gel Hồng Nhạt (Họa Tiết Mandala - Ảnh Quảng Cáo),Manicure,Làm móng tay,Glossy,None,Short / Medium,Oval,Complex,"Light pink gel polish on natural nails, with two accent nails featuring intricate black mandala-style hand-painted art. Ad image with business info.",Hand-painted Mandala Art,90,75,Mid-High,2-3,No,Yes,15,Elegant and artistic design for clients seeking something unique on natural nails. Requires very fine detail brush.,Thiết kế thanh lịch và nghệ thuật cho khách hàng tìm kiếm sự độc đáo trên móng tự nhiên. Yêu cầu cọ nét rất mảnh.,"All-Season, Boho, Elegant","Mandala Nails, Pink Nails, Hand-painted Art, Gel Manicure","Light Pink Gel Polish, Black Art Gel, Fine Detail Brush, Base Coat, Top Coat",0
065.jpg,Sage Green Gel Manicure (Ad Image),Sơn Gel Xanh Xám (Ảnh Quảng Cáo),Manicure,Làm móng tay,Glossy,None,Medium,Square / Oval,None,Solid sage green gel polish on natural nails. Ad image with business info.,None,60,45,Mid,2-3,No,Yes,15,"Simple, clean, and trendy color choice. Good for clients who prefer classic single-color applications.","Màu sắc đơn giản, sạch sẽ và thời thượng. Tốt cho khách hàng thích sơn một màu cổ điển.","Spring, Summer, Fall, Minimalist","Sage Green Nails, Solid Color, Gel Manicure, Trendy Colors","Sage Green Gel Polish, Base Coat, Top Coat",0
066.jpg,Deluxe Pedicure with Assorted Bubble Salts,Làm Móng Chân Cao Cấp (Đa Dạng Muối Ngâm Chân),Pedicure,Làm móng chân,N/A (focus on treatment),None,N/A,N/A,None,"Image features feet soaking in a pedicure bowl with flower petals, surrounded by various 'Bubble Spa' deluxe pedicure kits (Pomegranate, Honey Flower, Golden Petal, Pacific Waves, Matcha).","Deluxe Pedicure, Choice of Aroma",75,65,Mid-High,4-6,No,No,0,Promotional image for luxury pedicure options. Focus is on the spa experience and product variety.,Hình ảnh quảng cáo cho các lựa chọn làm móng chân cao cấp. Tập trung vào trải nghiệm spa và sự đa dạng sản phẩm.,"All-Season, Self-Care, Relaxation","Spa Pedicure, Aroma Therapy, Wellness","Assorted Bubble Spa Deluxe Pedicure Kits (Pomegranate, Honey Flower, Golden Petal, Pacific Waves, Matcha), Pedicure Bowl, Fresh Flowers",0
067.jpg,Soft Pink Almond with Gold Swirls (Ad Image),Làm Móng Bột Hạnh Nhân Hồng Nhạt (Vân Vàng - Ảnh Quảng Cáo),Full Set,Làm bộ móng mới,Glossy,Acrylic,Medium,Almond,Moderate,Soft pink almond-shaped nails with delicate gold glitter swirls. Ad image with business info.,Gold Glitter Swirls,135,95,High,2-3,Yes,Yes,30,"Elegant and subtle design, popular for clients who want a touch of glam without being too bold.","Thiết kế thanh lịch và tinh tế, phổ biến cho khách hàng muốn một chút lộng lẫy mà không quá nổi bật.","All-Season, Bridal, Elegant","Gold Swirls, Pink Nails, Almond Nails, Glitter Accents","Soft Pink Acrylic Powder, Clear Acrylic, Monomer, Nail Forms, Gold Glitter Gel/Foil, Fine Liner Brush, Glossy Top Coat",0
068.jpg,Short Pink & White Floral Gel Manicure,Sơn Gel Hồng Trắng Ngắn (Họa Tiết Hoa),Manicure,Làm móng tay,Glossy,None,Short,Oval / Square,Moderate,"Solid pink gel polish on some nails, with accent nails featuring a white base and small pink/white flowers with green leaves.","Hand-painted Floral Art, Multi-color",75,65,Mid-High,2-3,No,Yes,15,Cute and fresh design for shorter nails. Floral art adds a delicate touch.,Thiết kế dễ thương và tươi mới cho móng ngắn. Nghệ thuật hoa thêm một nét tinh tế.,"Spring, Summer, Everyday Cute","Floral Nails, Pink Nails, Short Nails, Gel Manicure","Pink Gel Polish, White Gel Polish, Pink Art Gel, Green Art Gel, Dotting Tool, Fine Detail Brush, Base Coat, Top Coat",0
069.jpg,Gold Bling Stiletto Full Set,Làm Móng Bột Nhọn Đính Đá Vàng Lấp Lánh,Full Set,Làm bộ móng mới,Glossy / Bling,Acrylic,Long,Stiletto,Extreme,"Nude pink base with extensive gold rhinestone and charm application, creating a full 'bling' effect on long stiletto nails.","Full Bling Nails, Gold Rhinestones, Gold Charms, Extra Length",225,190,Premium,2-3,Yes (complex),Yes,30,"Maximalist and luxurious design. Very time and material intensive, requiring expert placement for a smooth finish.","Thiết kế tối đa và sang trọng. Rất tốn thời gian và vật liệu, yêu cầu kỹ năng đặt đá chuyên nghiệp để có một bề mặt mịn.","Party, Holiday, Glamorous, Festival","Bling Nails, Gold Nails, Stiletto Nails, Rhinestone Nails","Nude Pink Acrylic, Clear Acrylic, Monomer, Nail Forms, Various Gold Rhinestones, Gold Charms, Nail Glue, Glossy Top Coat",0
071.jpg,Pink Marble French Stiletto Full Set (Ad Image),Làm Móng Bột Nhọn Pháp Vân Đá Hồng (Ảnh Quảng Cáo),Full Set,Làm bộ móng mới,Glossy,Acrylic,Long,Stiletto,Complex,Nude pink base with white French tips and accent nails featuring hot pink marble or abstract line art. Ad image with business info.,"French Tip Art, Marble Art, Abstract Line Art",165,130,High,2-3,Yes,Yes,30,"Modern and artistic design, good for clients wanting a unique twist on French nails.","Thiết kế hiện đại và nghệ thuật, tốt cho khách hàng muốn một phong cách độc đáo cho móng Pháp.","All-Season, Trendy, Abstract","Marble Nails, Pink Nails, French Tip, Stiletto Nails","Nude Pink Acrylic, White Acrylic, Hot Pink Gel Polish, Fine Liner Brush, Clear Acrylic, Monomer, Nail Forms, Glossy Top Coat",0
